Question,Category
Tell me about yourself.,Introduction
Please walk me through your resume.,Introduction
Please tell me about your professional experience in 2-3 minutes.,Introduction
What do you consider your biggest professional accomplishment to-date?,Behavioral
What’s the last thing you did that “wasn’t your job”?,Behavioral
What bad habits of other people drive you crazy?,Behavioral
What team are you the biggest fan of?,Behavioral
What do you always think takes too long?,Behavioral
What do you do when a project's requirements change at the last minute?,Behavioral
"If you have a degree, why did you choose to study what you studied?",Behavioral
"If you had a previous career, what did you like most about it? The least?",Behavioral
"If you had a previous career, do you think you will miss certain aspects of it after moving to a new career?",Behavioral
What’s the most challenging/exciting project you have done in the past two years?,Behavioral
Tell me about the most difficult challenge you’ve encountered and how you resolved it.,Behavioral
"Tell me about a time you were asked to do something you had never done before. How did you react, and what did you learn?",Behavioral
How would you describe yourself?,Behavioral
What are your long range and short range goals and objectives?,Behavioral
What do you see yourself doing five years from now? ,Behavioral
Where do you see yourself ten years from now?,Behavioral
What are your long range career objectives?,Behavioral
How do you plan to achieve your career goals?,Behavioral
What are the most important rewards you expect in your career?,Behavioral
How well do you work with people? Do you prefer working alone or in teams?,Behavioral
How would you evaluate your ability to deal with conflict?,Behavioral
Have you ever had difficulty with a supervisor? How did you resolve the conflict?,Behavioral
What's more important to you - the work itself or how much you're paid for doing it?,Behavioral
What do you consider to be your greatest strength and weakness?,Behavioral
How would a good friend describe you?,Behavioral
Describe the best job you've ever had.,Behavioral
Describe the best supervisor you've ever had.,Behavioral
What would your last boss say about your work performance?,Behavioral
What motivates you to go the extra mile on a project or job?,Behavioral
Why should I hire you?,Behavioral
What sets you apart from other candidates?,Behavioral
What qualifications do you have that make you successful in this career?,Behavioral
What do you think it takes to be successful in a company like ours?,Behavioral
In what ways do you think you can make a contribution to our company?,Behavioral
Do you have any hobbies? What do you do in your spare time?,Behavioral
What kinds of projects do you like to work on in your spare time?,Behavioral
What qualities should a successful manager possess?,Behavioral
What are the attributes of a good leader?,Behavioral
Which is more important: creativity or efficiency? Why?,Behavioral
What's the most recent book you've read?,Behavioral
Describe the relationship that should exist between the supervisor and those reporting to him or her?,Behavioral
What two or three accomplishments have given you the most satisfaction? Why?,Behavioral
"If you were hiring a job-seeker for this position, what qualities would you look for?",Behavioral
How would you describe your ideal workplace and team?,Behavioral
Do you have plans for continued study? An advanced degree?,Behavioral
In what kind of work environment are you most comfortable?,Behavioral
How do you work under pressure?,Behavioral
Are you good at delegating tasks?,Behavioral
What's one of the hardest decisions you've ever had to make?,Behavioral
How well do you adapt to new situations?,Behavioral
Why did you decide to seek a position in this company?,Behavioral
What can you tell us about our company?,Behavioral
What interests you about our products?,Behavioral
What do you know about our competitors?,Behavioral
What two or three things are most important to you in your job?,Behavioral
Are you seeking employment in a company of a certain size? Why?,Behavioral
What are your expectations regarding promotions and salary increases?,Behavioral
What are your expectations for salary?,Behavioral
What criteria are you using to evaluate the company for which you hope to work?,Behavioral
Do you have a geographic preference? Why?,Behavioral
Are you willing to relocate?,Behavioral
Are you willing to travel for the job?,Behavioral
Why do you think you might like to live in the community in which our company is located?,Behavioral
What major problem have you encountered and how did you deal with it?,Behavioral
What have you learned from your mistakes?,Behavioral
What have you accomplished that shows your initiative and willingness to work?,Behavioral
What motivates you?,Behavioral
What motivating mindset has helped propel you forward when overcoming challenges?,Behavioral
"Why are you leaving your current job, or why did you leave your last job?",Behavioral
What are your 3 greatest strengths/weaknesses?,Behavioral
